"VerbNo","Item","Verb","GenderNP1","GenderNP2","Block","Condition","List","Connective","Prompt"
"es-08",8,"mögen","f","m","creative",7,3,"punkt","Jennifer mochte Tobias."
"es-08",8,"mögen","m","f","creative",8,2,"punkt","Tobias mochte Jennifer."
"se-09",9,"stören","f","m","non-creative",1,1,"punkt","Annemarie störte Malte."
"se-09",9,"stören","m","f","non-creative",2,2,"punkt","Malte störte Annemarie."
"es-09",9,"hassen","f","m","non-creative",3,3,"punkt","Annemarie hasste Malte."
"es-09",9,"hassen","m","f","non-creative",4,4,"punkt","Malte hasste Annemarie."
"se-09",9,"stören","f","m","creative",5,4,"punkt","Annemarie störte Malte."
"se-09",9,"stören","m","f","creative",6,3,"punkt","Malte störte Annemarie."
"es-09",9,"hassen","f","m","creative",7,2,"punkt","Annemarie hasste Malte."
"es-09",9,"hassen","m","f","creative",8,1,"punkt","Malte hasste Annemarie."
"se-10",10,"beeindrucken","f","m","non-creative",1,4,"punkt","Adele beeindruckte Robin."
"se-10",10,"beeindrucken","m","f","non-creative",2,1,"punkt","Robin beeindruckte Adele."
"es-10",10,"achten","f","m","non-creative",3,2,"punkt","Adele achtete Robin."
"es-10",10,"achten","m","f","non-creative",4,3,"punkt","Robin achtete Adele."
"se-10",10,"beeindrucken","f","m","creative",5,3,"punkt","Adele beeindruckte Robin."
"se-10",10,"beeindrucken","m","f","creative",6,2,"punkt","Robin beeindruckte Adele."
"es-10",10,"achten","f","m","creative",7,1,"punkt","Adele achtete Robin."
"es-10",10,"achten","m","f","creative",8,4,"punkt","Robin achtete Adele."
"se-11",11,"begeistern","f","m","non-creative",1,3,"punkt","Anna begeisterte Armin."
"se-11",11,"begeistern","m","f","non-creative",2,4,"punkt","Armin begeisterte Anna."
"es-11",11,"bewundern","f","m","non-creative",3,1,"punkt","Anna bewunderte Armin."
"es-11",11,"bewundern","m","f","non-creative",4,2,"punkt","Armin bewunderte Anna."
"se-11",11,"begeistern","f","m","creative",5,2,"punkt","Anna begeisterte Armin."
"se-11",11,"begeistern","m","f","creative",6,1,"punkt","Armin begeisterte Anna."
"es-11",11,"bewundern","f","m","creative",7,4,"punkt","Anna bewunderte Armin."
"es-11",11,"bewundern","m","f","creative",8,3,"punkt","Armin bewunderte Anna."
"se-12",12,"amüsieren","f","m","non-creative",1,2,"punkt","Anna begeisterte Armin."
"se-12",12,"amüsieren","m","f","non-creative",2,3,"punkt","Armin begeisterte Anna."
"es-12",12,"lieben","f","m","non-creative",3,4,"punkt","Anna bewunderte Armin."
"es-12",12,"lieben","m","f","non-creative",4,1,"punkt","Armin bewunderte Anna."
"se-12",12,"amüsieren","f","m","creative",5,1,"punkt","Anna begeisterte Armin."
"se-12",12,"amüsieren","m","f","creative",6,4,"punkt","Armin begeisterte Anna."
"es-12",12,"lieben","f","m","creative",7,3,"punkt","Anna bewunderte Armin."
"es-12",12,"lieben","m","f","creative",8,2,"punkt","Armin bewunderte Anna."
"se-13",13,"langweilen","f","m","non-creative",1,1,"punkt","Melanie langweilte Jacob."
"se-13",13,"langweilen","m","f","non-creative",2,2,"punkt","Jacob langweilte Melanie."
"es-13",13,"bemitleiden","f","m","non-creative",3,3,"punkt","Melanie bemitleidete Jacob."
"es-13",13,"bemitleiden","m","f","non-creative",4,4,"punkt","Jacob bemitleidete Melanie."
"se-13",13,"langweilen","f","m","creative",5,4,"punkt","Melanie langweilte Jacob."
"se-13",13,"langweilen","m","f","creative",6,3,"punkt","Jacob langweilte Melanie."
"es-13",13,"bemitleiden","f","m","creative",7,2,"punkt","Melanie bemitleidete Jacob."
"es-13",13,"bemitleiden","m","f","creative",8,1,"punkt","Jacob bemitleidete Melanie."
"se-14",14,"verblüffen","f","m","non-creative",1,4,"punkt","Janina verblüffte Yannick."
"se-14",14,"verblüffen","m","f","non-creative",2,1,"punkt","Yannick verblüffte Janina."
"es-14",14,"anhimmeln","f","m","non-creative",3,2,"punkt","Janina himmelte Yannick an."
"es-14",14,"anhimmeln","m","f","non-creative",4,3,"punkt","Yannick himmelte Janina an."
"se-14",14,"verblüffen","f","m","creative",5,3,"punkt","Janina verblüffte Yannick."
"se-14",14,"verblüffen","m","f","creative",6,2,"punkt","Yannick verblüffte Janina."
"es-14",14,"anhimmeln","f","m","creative",7,1,"punkt","Janina himmelte Yannick an."
"es-14",14,"anhimmeln","m","f","creative",8,4,"punkt","Yannick himmelte Janina an."
